edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
226 node_type_id=='471767045' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000794301297115 1.5 exp2syn
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000794301297115 1.5 exp2syn
228 node_type_id=='485574832' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000835992146815 1.5 exp2syn
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000835992146815 1.5 exp2syn
230 node_type_id=='485835055' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000647903145051 1.5 exp2syn
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000647903145051 1.5 exp2syn
232 node_type_id=='485880739' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007721614098510001 1.5 exp2syn
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007721614098510001 1.5 exp2syn
234 node_type_id=='486052980' pop_name=='e4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000897951825332 1.5 exp2syn
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000897951825332 1.5 exp2syn
