% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-146.29037849574888       207.30097367359858       -144.99999999999997      0.5888047165536323
-141.467425763924         204.3233848579498        -140.98753593262302      0.6005100897386898
-139.52360627161653       201.5187362404           -144.99999999999997      0.6053112811204886
-124.00000000000006       204.00000000000014       -144.99999999999997      0.6053112819543393
-126.00000000000006       206.00000000000014       -145.00000000000006      0.6053112819343857
-124.96838977411325       204.9239542346459        -141.30363663793946      0.618737697503733
-122.00709019151695       207.88817304860626       -144.99999999999997      0.6241592892841143
-127.54141670254606       202.44871588901773       -144.99999999999997      0.6053112817157081
-145.87821007513335       231.0932100898846        -138.2714915392692       0.5863985515693065
-145.80673388047464       228.5420596337227        -144.99999999999997      0.5862773831532383
-184.6762800130478        179.80877714021284       -135.39940737694292      0.47829904948220253
-180.70018585007725       172.69759781208106       -138.39570202166578      0.4879839044586914
-4.311064124751336        283.4688516847322        -150                     0.4188709535590111
-6.210575272423216        285.62776462002915       -154.686613425745        0.4194157506581823
-10.179379774669192       283.34863657495066       -150                     0.4240099694801814
-7.283016745940715        289.3077597468559        -150                     0.4208737068786999
-5.80766476889254         257.13325044673417       -150                     0.4175331710834615
-5.838902495794946        262.8392782812245        -149.99999999999997      0.4184806329978254
-5.645571104661331        259.2261090838731        -156.63155992059222      0.416517585014874
-12.00231220637032        260.00502105735194       -149.99999999999997      0.42354413988052025
-6.948502017868183        279.34152308899246       -150                     0.4208197700773042
-6.00000000000002         312.0000000000001        -145.00000000000006      0.6875908635598763
-8.00000000000001         314.00000000000017       -145.00000000000006      0.6875908634168458
-9.541385994444349        310.4487088464148        -144.99999999999997      0.6875908637517048
-5.620102601926735        311.4718447815005        -142.09421766697383      0.6767722757083523
-4.576829779176556        317.0506874336923        -144.99999999999997      0.6581843374702112
-0.692375168066415        260.12825805892396       -150                     0.4153635266205296
4.743014204280773         258.0010478098414        -150                     0.4139503004614404
7.164768665962059         259.68576395995905       -158.29885942347957      0.4123752734752185
0.5649318387832013        257.9431737490562        -158.44546623389166      0.4126746882143159
4.6061802093743776        263.353467104021         -150                     0.414763010064453
8.877361449514607         258.24407776831526       -154.22273311694585      0.41385632230580494
-26.000000000000014       286.00000000000017       -145.00000000000006      0.6875908656180351
-24.000000000000014       284.0000000000001        -145.00000000000006      0.6875908657706516
-22.15331136344421        287.8256553122312        -144.99999999999997      0.6875908655820216
-26.02229219719441        284.16514085542155       -142.24161354325165      0.6950254849655289
-28.636397245783765       282.52444382781323       -144.99999999999997      0.6891425597936333
9.731019410337037         260.6253005288193        -149.99999999999997      0.41499436977010296
5.999999999999976         312.0000000000001        -145.00000000000006      0.6646190725369848
3.89079338311298          314.4923040027898        -144.99999999999997      0.6581816088970341
4.842407780564311         311.7152713009374        -141.53901831323492      0.6641049950696325
7.999999999999989         314.00000000000017       -145.00000000000006      0.6646190724246005
-24.000000000000057       314.00000000000017       -144.99999999999997      0.6875908626039897
-26.00000000000003        312.0000000000001        -145.00000000000006      0.6875908625394606
-21.524066696281956       309.51894994444996       -144.99999999999997      0.6875908633002491
-25.13535592738213        313.335141653926         -140.18554687499994      0.6538885514355744
-27.19560605395458        316.76783808886546       -144.99999999999997      0.631094530524649
157.25901739576028        287.82144543105596       -149.99999999999997      0.2947156269641566
154.59872584817091        286.14728565036893       -150                     0.2978675646670305
156.84785896187842        288.3589983939487        -153.32417486890233      0.2948608551170156
