time	amplitude
278191.0	0.8075939277235107
278192.0	0.808553557012444
278193.0	0.8095084001303314
278194.0	0.8104584809483006
278195.0	0.8114038232184215
278196.0	0.8123444505743003
278197.0	0.8132803865316696
278198.0	0.8142116544889771
278199.0	0.8151382777279705
278200.0	0.8160602794142788
278201.0	0.8169776825979923
278202.0	0.8178905102142383
278203.0	0.8187987850837548
278204.0	0.8197025299134608
278205.0	0.8206017672970242
278206.0	0.8214965197154263
278207.0	0.8223868095375242
278208.0	0.8232726590206099
278209.0	0.8241540903109665
278210.0	0.8250311254444223
278211.0	0.8259037863469012
278212.0	0.8267720948349713
278213.0	0.8276360726163899
278214.0	0.8284957412906466
278215.0	0.8293511223495031
278216.0	0.8302022371775304
278217.0	0.8310491070526435
278218.0	0.8318917531466333
278219.0	0.8327301965256961
278220.0	0.8335644581509603
278221.0	0.8343945588790095
278222.0	0.8352205194624054
278223.0	0.8360423605502058
278224.0	0.8368601026884802
278225.0	0.8376737663208251
278226.0	0.8384833717888736
278227.0	0.8392889393328042
278228.0	0.840090489091848
278229.0	0.8408880411047904
278230.0	0.8416816153104734
278231.0	0.8424712315482933
278232.0	0.8432569095586974
278233.0	0.8440386689836766
278234.0	0.8448165293672575
278235.0	0.8455905101559901
278236.0	0.8463606306994343
278237.0	0.8471269102506441
278238.0	0.8478893679666479
278239.0	0.8486480229089286
278240.0	0.8494028940438989
278241.0	0.8501540002433768
278242.0	0.8509013602850564
278243.0	0.8516449928529773
278244.0	0.8523849165379929
278245.0	0.8531211498382336
278246.0	0.8538537111595703
278247.0	0.8545826188160742
278248.0	0.8553078910304747
278249.0	0.8560295459346149
278250.0	0.8567476015699049
278251.0	0.8574620758877732
278252.0	0.8581729867501148
278253.0	0.8588803519297383
278254.0	0.8595841891108101
278255.0	0.8602845158892963
278256.0	0.8609813497734029
278257.0	0.8616747081840133
278258.0	0.8623646084551237
278259.0	0.8630510678342772
278260.0	0.8637341034829937
278261.0	0.8644137324772001
278262.0	0.8650899718076566
278263.0	0.8657628383803817
278264.0	0.8664323490170748
278265.0	0.8670985204555367
278266.0	0.8677613693500881
278267.0	0.8684209122719857
278268.0	0.8690771657098371
278269.0	0.8697301460700122
278270.0	0.8703798696770542
278271.0	0.8710263527740871
278272.0	0.8716696115232221
278273.0	0.8723096620059612
278274.0	0.8729465202235999
278275.0	0.8735802020976268
278276.0	0.8742107234701217
278277.0	0.874838100104152
278278.0	0.8754623476841659
278279.0	0.8760834818163856
278280.0	0.8767015180291968
278281.0	0.8773164717735369
278282.0	0.8779283584232814
278283.0	0.8785371932756287
278284.0	0.8791429915514817
278285.0	0.879745768395829
278286.0	0.8803455388781227
278287.0	0.8809423179926564
278288.0	0.8815361206589392
278289.0	0.8821269617220682
278290.0	0.8827148559531012
278291.0	0.8832998180494243
278292.0	0.8838818626351206
278293.0	0.8844610042613349
278294.0	0.8850372574066381
278295.0	0.8856106364773888
278296.0	0.8861811558080936
278297.0	0.8867488296617656
278298.0	0.8873136722302806
278299.0	0.8878756976347323
278300.0	0.888434919925785
278301.0	0.8889913530840252
278302.0	0.8895450110203109
278303.0	0.8900959075761191
278304.0	0.8906440565238927
278305.0	0.8911894715673836
278306.0	0.8917321663419965
278307.0	0.892272154415129
278308.0	0.8928094492865111
278309.0	0.8933440643885424
278310.0	0.8938760130866285
278311.0	0.8944053086795144
278312.0	0.8949319643996176
278313.0	0.8954559934133586
278314.0	0.8959774088214898
278315.0	0.8964962236594236
278316.0	0.8970124508975583
278317.0	0.8975261034416013
278318.0	0.8980371941328933
278319.0	0.898545735748728
278320.0	0.8990517410026723
278321.0	0.899555222544884
278322.0	0.9000561929624278
278323.0	0.9005546647795901
278324.0	0.9010506504581927
278325.0	0.901544162397903
278326.0	0.9020352129365453
278327.0	0.9025238143504087
278328.0	0.903009978854554
278329.0	0.9034937186031191
278330.0	0.903975045689623
278331.0	0.9044539721472676
278332.0	0.9049305099492397
278333.0	0.9054046710090089
278334.0	0.9058764671806265
278335.0	0.9063459102590214
278336.0	0.906813011980295
278337.0	0.9072777840220145
278338.0	0.9077402380035053
278339.0	0.908200385486141
278340.0	0.9086582379736327
278341.0	0.9091138069123162
278342.0	0.909567103691439
278343.0	0.9100181396434439
278344.0	0.9104669260442534
278345.0	0.9109134741135507
278346.0	0.9113577950150611
278347.0	0.91179989985683
278348.0	0.9122397996915016
278349.0	0.9126775055165945
278350.0	0.9131130282747775
278351.0	0.9135463788541418
278352.0	0.9139775680884747
278353.0	0.9144066067575295
278354.0	0.9148335055872953
278355.0	0.9152582752502649
278356.0	0.9156809263657022
278357.0	0.916101469499907
278358.0	0.9165199151664796
278359.0	0.9169362738265835
278360.0	0.9173505558892068
278361.0	0.9177627717114225
278362.0	0.918172931598648
278363.0	0.9185810458049015
278364.0	0.9189871245330596
278365.0	0.9193911779351116
278366.0	0.9197932161124136
278367.0	0.920193249115941
278368.0	0.9205912869465396
278369.0	0.9209873395551761
278370.0	0.9213814168431862
278371.0	0.9217735286625226
278372.0	0.9221636848160013
278373.0	0.9225518950575464
278374.0	0.9229381690924343
278375.0	0.9233225165775358
278376.0	0.923704947121558
278377.0	0.9240854702852848
278378.0	0.9244640955818145
278379.0	0.9248408324767998
278380.0	0.9252156903886825
278381.0	0.9255886786889298
278382.0	0.9259598067022687
278383.0	0.926329083706919
278384.0	0.9266965189348249
278385.0	0.9270621215718863
278386.0	0.9274259007581882
278387.0	0.927787865588229
278388.0	0.9281480251111485
278389.0	0.9285063883309536
278390.0	0.9288629642067432
278391.0	0.9292177616529329
278392.0	0.9295707895394775
278393.0	0.9299220566920923
278394.0	0.9302715718924746
278395.0	0.9306193438785224
278396.0	0.9309653813445535
278397.0	0.9313096929415229
278398.0	0.931652287277238
278399.0	0.9319931729165754
278400.0	0.9323323583816936
278401.0	0.9326698521522471
278402.0	0.9330056626655975
278403.0	0.9333397983170253
278404.0	0.9336722674599391
278405.0	0.9340030784060849
278406.0	0.9343322394257534
278407.0	0.9346597587479875
278408.0	0.934985644560787
278409.0	0.9353099050113145
278410.0	0.9356325482060979
278411.0	0.9359535822112339
278412.0	0.9362730150525895
278413.0	0.9365908547160025
278414.0	0.9369071091474805
278415.0	0.9372217862534014
278416.0	0.9375348939007088
278417.0	0.9378464399171103
278418.0	0.9381564320912725
278419.0	0.938464878173016
278420.0	0.938771785873509
278421.0	0.9390771628654598
278422.0	0.9393810167833092
278423.0	0.9396833552234208
278424.0	0.9399841857442717
278425.0	0.9402835158666402
278426.0	0.9405813530737952
278427.0	0.9408777048116823
278428.0	0.9411725784891104
278429.0	0.9414659814779368
278430.0	0.9417579211132515
278431.0	0.9420484046935607
278432.0	0.9423374394809687
278433.0	0.9426250327013606
278434.0	0.9429111915445818
278435.0	0.9431959231646181
278436.0	0.9434792346797751
278437.0	0.9437611331728553
278438.0	0.9440416256913355
278439.0	0.9443207192475437
278440.0	0.944598420818833
278441.0	0.9448747373477573
278442.0	0.9451496757422443
278443.0	0.945423242875768
278444.0	0.945695445587521
278445.0	0.9459662906825854
278446.0	0.9462357849321026
278447.0	0.9465039350734428
278448.0	0.9467707478103735
278449.0	0.9470362298132273
278450.0	0.9473003877190678
