node_type_id model_processing dynamics_params population pop_name model_type morphology model_template location ei
100000121  e6Ntsr1_avg_lif.json v1 LIFe6Ntsr1 point_process  nrn:IntFire1 VisL6 e
466632464 aibs_perisomatic 466632464_fit.json v1 e6Ntsr1 biophysical Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc ctdb:Biophys1.hoc VisL6 e
471410185 aibs_perisomatic 471410185_fit.json v1 e6Ntsr1 biophysical Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc ctdb:Biophys1.hoc VisL6 e
471786879 aibs_perisomatic 471786879_fit.json v1 e6Ntsr1 biophysical Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc ctdb:Biophys1.hoc VisL6 e
471789504 aibs_perisomatic 471789504_fit.json v1 e6Ntsr1 biophysical Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc ctdb:Biophys1.hoc VisL6 e
471819401 aibs_perisomatic 471819401_fit.json v1 e6Ntsr1 biophysical Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc ctdb:Biophys1.hoc VisL6 e
100000106  i6Htr3a_avg_lif.json v1 LIFi6Htr3a point_process  nrn:IntFire1 VisL6 i
581001895 aibs_perisomatic 481001895_fit.json v1 i6Htr3a biophysical Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc ctdb:Biophys1.hoc VisL6 i
581136138 aibs_perisomatic 481136138_fit.json v1 i6Htr3a biophysical Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc ctdb:Biophys1.hoc VisL6 i
100000103  i6Pvalb_avg_lif.json v1 LIFi6Pvalb point_process  nrn:IntFire1 VisL6 i
321708130 aibs_perisomatic 321708130_fit.json v1 i6Pvalb biophysical Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc ctdb:Biophys1.hoc VisL6 i
471087830 aibs_perisomatic 471087830_fit.json v1 i6Pvalb biophysical Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc ctdb:Biophys1.hoc VisL6 i
478058328 aibs_perisomatic 478058328_fit.json v1 i6Pvalb biophysical Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc ctdb:Biophys1.hoc VisL6 i
478828646 aibs_perisomatic 478828646_fit.json v1 i6Pvalb biophysical Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc ctdb:Biophys1.hoc VisL6 i
100000120  i6Sst_avg_lif.json v1 LIFi6Sst point_process  nrn:IntFire1 VisL6 i
313862306 aibs_perisomatic 313862306_fit.json v1 i6Sst biophysical Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc ctdb:Biophys1.hoc VisL6 i
473564515 aibs_perisomatic 473564515_fit.json v1 i6Sst biophysical Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc ctdb:Biophys1.hoc VisL6 i
476104386 aibs_perisomatic 476104386_fit.json v1 i6Sst biophysical Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc ctdb:Biophys1.hoc VisL6 i
476754635 aibs_perisomatic 476754635_fit.json v1 i6Sst biophysical Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc ctdb:Biophys1.hoc VisL6 i
