edge_type_id target_query source_query weight_function dynamics_params target_sections syn_weight delay distance_range model_template weight_sigma
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000647903145051 1.5 "[0.0, 1e+20]" exp2syn 30.0
232 node_type_id=='485880739' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007721614098510001 1.5 "[0.0, 1e+20]" exp2syn 30.0
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007721614098510001 1.5 "[0.0, 1e+20]" exp2syn 30.0
234 node_type_id=='486052980' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000897951825332 1.5 "[0.0, 1e+20]" exp2syn 30.0
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000897951825332 1.5 "[0.0, 1e+20]" exp2syn 30.0
236 node_type_id=='486110216' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000688643322757 1.5 "[0.0, 1e+20]" exp2syn 30.0
237 node_type_id=='487664663' pop_name=='e4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000890493189227 1.5 "[0.0, 1e+20]" exp2syn 30.0
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000890493189227 1.5 "[0.0, 1e+20]" exp2syn 30.0
239 node_type_id=='471129934' pop_name=='i4Sst' DirectionRule_others GABA_InhToExc.json "[""basal"", ""apical""]" 0.000187408631022 1.5 "[50.0, 1e+20]" exp2syn 90.0
240 node_type_id=='471758398' pop_name=='i4Sst' DirectionRule_others GABA_InhToExc.json "[""basal"", ""apical""]" 8.6387982143e-05 1.5 "[50.0, 1e+20]" exp2syn 90.0
